Estate,Median Monthly Domestic Household Mortgage Payment and Loan Repayment,"Median Mortgage Payment and Loan Repayment to Income Ratio(1),(2)",Population,Median Floor Area of Accommodation(3),"Median Rent to Income Ratio(4),(5)",Median Monthly Domestic Household Rent(5),Median Monthly Income from Main Employment (Excluding Foreign Domestic Helpers)(6),Median Age,Median Monthly Domestic Household Income,Median Monthly Household Income of Economically Active Households,Average Domestic Household Size,latitude,longitude
Ap Lei Chau Estate,0,0,14504,35,7.7,1400,12000,53.1,17880,21650,2.8,22.2418581,114.1528532
Butterfly Estate,0,11450,25,7.3,820,11000,50.3,11210,15000,2.1,22.3752484,113.9630632,
Chai Wan Estate,0,4862,31,10.5,1880,11250,37.7,17500,18500,3,22.264341,114.242424,
Chak On Estate,0,3703,23,9.3,1180,12000,52.2,13120,16000,2.2,22.340516,114.164986,
Cheung Ching Estate,0,13908,33,7.2,1300,12750,47.4,18500,21490,2.9,22.349684,114.106805,
Cheung Fat Estate,7.1,6597,32,5.9,1040,13000,51.8,20440,24080,2.7,22.363129,114.10375,
Cheung Hang Estate,0,13638,35,6.4,1250,12250,44.9,20920,25000,3.2,22.356577,114.097831,
Cheung Hong Estate,0,20968,24,7,1060,12240,49.3,15000,19000,2.5,22.350027,114.105611,
Cheung On Estate,14.7,21791,41,7.8,1250,14000,48.4,25330,30600,3,22.3605076,114.1046833,
Cheung Shan Estate,0,4746,33,7.7,1350,12250,48.6,18000,21500,3,22.3784476,114.130881,
Cheung Wah Estate,9,13109,35,7.8,1040,12250,49.2,18000,22490,2.7,22.492606,114.140036,
Cheung Wang Estate,0,9998,30,10.7,1750,11250,46.2,14300,19240,2.4,22.356391,114.096219,
Ching Ho Estate,0,20257,30,9.3,1280,11250,39.4,14310,17500,2.9,22.494056,114.126815,
Choi Fai Estate,0,4361,43,8.1,2030,13500,43.5,22050,26800,3.2,22.335329,114.217847,
Choi Fook Estate,0,9075,29,11.5,1750,11780,40,15000,17000,2.6,22.3274,114.217972,
Choi Ha Estate,12.5,6105,41,9.9,1400,13000,48.7,16500,22000,2.8,22.3261696,114.2174724,
Choi Hung Estate,0,18435,31,8.5,1310,12000,48,15290,19000,2.5,22.33533,114.204252,
Choi Tak Estate,0,17420,31,10.7,1900,12000,40.7,17500,21520,3,22.3305242,114.2131805,
Choi Wan (1) Estate,0,0,17517,35,7.8,1500,12250,44.6,19500,23000,3.1,22.3335347,114.2132322
Choi Wan (2) Estate,0,0,9099,33,7.7,1510,12300,45.4,20090,23140,3.1,22.334533,114.217638
Choi Ying Estate,0,9206,30,12.3,1750,11000,45.7,12550,16790,2.3,22.32825,114.215552,
Choi Yuen Estate,0,12178,23,7.6,930,12000,51.3,12470,18140,2.5,22.5019707,114.126513,
Chuk Yuen North Estate,3300,10.6,18749,41,8.5,1350,14250,47.8,21200,25250,2.8,22.3459302,114.1914691
Chuk Yuen South Estate,0,0,15264,30,8.9,1250,12000,46.8,15000,18250,2.6,22.344633,114.190644
Chun Shek Estate,0,5324,29,8.2,1250,11580,49.7,14530,18650,2.5,22.3736243,114.1870429,
Chung On Estate,0,9182,34,8.3,2000,12000,42.5,22780,25220,3.3,22.366841,114.1305953,
Fortune Estate,0,4489,35,12.9,2120,10800,51.8,12250,19000,2.2,22.3355798,114.1537714,
Fu Cheong Estate,0,14900,34,13.2,2120,12000,48.2,14990,20780,2.5,22.329776,114.153443,
Fu Heng Estate,8.7,17452,37,8.2,1130,13000,46.8,23000,29000,3,22.4589619,114.171803,
Fu Shan Estate,0,3720,32,8.7,1280,12250,48.3,13000,20490,2.5,22.3427461,114.208299,
Fu Shin Estate,10,14583,32,7.1,1200,13000,48.6,18490,24600,2.7,22.4530116,114.1754123,
Fu Tai Estate,0,16783,43,8.1,1900,13000,39,21990,28000,3.4,22.4135617,113.9841102,
Fu Tung Estate,0,5295,43,7.7,1750,13000,40.8,21000,25000,3.3,22.2865988,113.9422304,
Fuk Loi Estate,0,6999,26,10.3,1230,12000,54.1,11420,17840,2.3,22.3740071,114.1134826,
Fung Tak Estate,12.5,13342,41,8.5,1140,13000,49.2,19500,24990,2.6,22.343206,114.199977,
Fung Wah Estate,18.6,3580,37,8.1,1250,12500,46,24000,25950,2.9,22.2609802,114.2311528,
Grandeur Terrace,0,12518,35,8.6,1700,12000,39.5,19250,20500,3.1,22.4690804,114.0015977,
Hau Tak Estate,0,12806,35,8,1750,12300,47.3,20000,25780,3.2,22.3174611,114.2642273,
Heng On Estate,8.2,16631,41,8.7,1300,15000,47.3,23750,28020,3,22.404843,114.224048,
High Prosperity Terrace,0,3002,44,10.5,3270,13000,37.5,27000,27250,4,22.365035,114.12362,
Hin Keng Estate,13.9,17069,35,8.5,1400,14000,53.3,21490,28300,2.8,22.3792677,114.1863908,
Hing Man Estate,0,5795,32,7.1,1500,12000,46.6,20540,23550,3.1,22.266456,114.23257,
Hing Tin Estate,9.4,6890,41,8.2,1600,13800,49.3,22490,25050,2.9,22.3129,114.239149,
Hing Tung Estate,0,6296,43,9,2250,13000,45.7,22000,26190,3.1,22.281684,114.2198321,
Hing Wah (1) Estate,0,0,7526,34,10.8,2550,12270,47.6,23000,27920,3.4,22.2631914,114.2355205
Hing Wah (2) Estate,0,0,8351,29,8.6,1250,11250,50.6,14000,18750,2.4,22.2630132,114.2330593
Ho Man Tin Estate,0,0,12798,34,13.6,2400,12000,50.6,16500,22520,2.7,22.3166857,114.1824438
Hoi Fu Court,20.7,10443,38,11,2500,12500,45.6,19100,25540,3.1,22.3158391,114.164459,
Hoi Lai Estate,0,16901,45,12,3240,12500,38.8,24500,27640,3.5,22.3322878,114.1463985,
Hung Hom Estate,0,6623,22,11.7,1750,11500,52.6,15000,20000,2.4,22.3086271,114.189725,
Ka Fuk Estate,0,6322,35,5.9,1400,12250,43.5,24300,28310,3.4,22.49372,114.13535,
Kai Tin Estate,0,5612,34,11,2000,12000,51,13930,21550,2.5,22.309585,114.234916,
Kai Yip Estate,0,8905,23,8.1,1100,12000,52.9,13050,16000,2.2,22.3284729,114.2095757,
Kin Ming Estate,0,19889,30,9.1,1800,12000,42.8,19100,21250,2.9,22.3066724,114.2518014,
Kin Sang Estate,12.3,7876,37,6.8,1150,13000,42.9,21000,26160,3,22.406346,113.971628,
King Lam Estate,7.4,14367,37,7.5,750,13500,52,18490,26000,2.8,22.321844,114.2614,
Ko Cheung Court,0,8571,54,11.4,4000,13500,32.9,35590,35700,4.9,22.2955648,114.2409484,
Ko Yee Estate,0,0,3326,35,9.9,2000,14000,46.4,18800,23360,2.8,22.297491,114.241452
Kwai Chung Estate,0,38674,30,10.6,1780,12000,40.7,16000,19370,2.8,22.3590355,114.1294105,
Kwai Fong Estate,0,18023,35,10.4,1980,12000,46.8,18000,22540,2.9,22.3590355,114.1294105,
Kwai Hing Estate,8.5,3908,40,10.8,1250,14500,51.7,18000,26500,2.7,22.3590355,114.1294105,
Kwai Luen Estate,0,7616,30,11.4,1750,12000,36,14740,17000,2.5,22.361641,114.124494,
Kwai Shing East Estate,0,0,19805,35,10.8,2250,11400,45.8,19010,22990,3.1,22.3644772,114.1269103
Kwai Shing West Estate,0,0,13720,31,8.1,1380,12000,46.1,16500,21500,2.7,22.362803,114.123682
Kwong Fuk Estate,0,16939,33,7.3,1270,12800,47.7,17360,20990,2.8,22.448131,114.1739368,
Kwong Tin Estate,0,6979,44,9.3,2020,13000,45.9,20510,24290,2.9,22.3036852,114.2394058,
Kwong Yuen Estate,8.7,12835,41,7.2,1170,13500,46.9,25000,30170,3.1,22.3806584,114.2139835,
Lai King Estate,0,10428,23,8.3,1250,11280,50.3,14800,20000,2.5,22.35138,114.126881,
Lai Kok Estate,0,6488,23,9.1,1070,12000,54.1,12200,19280,2.2,22.3328088,114.1567547,
Lai On Estate,0,2957,35,10.9,1560,12000,50.1,11860,17730,2.2,22.3314041,114.1583905,
Lai Yiu Estate,0,8254,33,8.8,1550,12250,46.8,18900,24950,3,22.3535179,114.1309097,
Lam Tin Estate,0,10088,38,11.3,2250,12250,38.5,19920,22250,3.3,22.3109358,114.2362868,
Lee On Estate,0,11159,35,7.6,1750,12000,45.3,22490,25500,3.1,22.4258333,114.2413889,
Lei Cheng Uk Estate,1750,7,12043,36,9.1,1250,12700,51.8,17090,21500,2.6,22.3392712,114.1594043
Lei Muk Shue (1) Estate,0,8297,43,9.9,2700,13000,46.3,28750,31160,3.6,22.3777231,114.1344832,
Lei Muk Shue (2) Estate,0,12987,34,8.6,1500,12000,46.4,18000,24000,3.1,22.3783386,114.134665,
Lei Muk Shue Estate,0,0,7823,22,11.4,1290,12000,47,12000,15650,2,22.37895,114.137298
Lei Tung Estate,8.7,19393,35,8.8,1200,13500,49.7,19900,25750,2.7,22.2414613,114.1560942,
Lei Yue Mun Estate,0,11144,43,10.6,2750,12000,41.5,25100,26300,3.6,22.2944676,114.2401334,
Lek Yuen Estate,0,8131,29,8,1250,12250,50.5,15200,20000,2.6,22.3853356,114.1918667,
Leung King Estate,11.5,18951,38,5.8,1010,13000,45.5,18980,23500,2.8,22.4073146,113.9628111,
Lok Fu Estate,0,9952,35,9.5,1750,11950,50.8,16450,20000,2.7,22.3387416,114.186457,
