District,Aided Primary Schools,Aided Secondary Schools,Aided Special Schools,Caput Secondary Schools,Direct Subsidy Scheme Primary Schools,Direct Subsidy Scheme Secondary Schools,English Schools Foundation (Primary),English Schools Foundation (Secondary),Government Primary Schools,Government Secondary Schools,International Schools (Primary),International Schools (Secondary),Kindergarten-cum-child Care Centres,Kindergartens,Private Primary Schools,Private Secondary Schools (Day/Evening)
KOWLOON CITY,30,27,8,0,3,5,3,2,4,3,9,3,105,122,13,1
TAI PO,18,17,10,0,0,2,0,0,1,1,3,1,33,54,3,3
SHA TIN,38,36,12,0,2,7,1,4,1,2,0,0,78,103,3,5
SHAM SHUI PO,19,15,18,1,3,9,0,0,3,1,0,3,34,72,8,5
TUEN MUN,33,35,12,0,1,0,0,0,1,2,1,1,62,97,1,1
KWUN TONG,32,25,11,0,1,7,0,0,2,2,2,2,60,102,2,1
WONG TAI SIN,24,22,6,0,0,1,0,0,1,1,0,0,45,60,4,3
NORTH,29,17,6,0,0,1,0,0,1,2,0,1,37,80,0,1
EASTERN,23,22,8,0,2,4,1,0,4,4,5,5,119,82,3,2
YAU TSIM MONG,17,13,6,1,2,4,0,0,3,2,0,0,45,34,4,5
WAN CHAI,12,11,4,0,0,3,1,0,3,3,2,2,27,24,6,2
KWAI TSING,30,31,14,0,1,0,0,0,0,0,0,0,54,94,0,0
SAI KUNG,21,18,8,0,4,7,2,0,1,1,2,2,69,80,3,2
YUEN LONG,43,30,10,0,2,5,0,0,3,4,1,0,57,122,2,4
ISLANDS,16,8,1,0,0,3,0,0,0,1,5,1,28,57,4,4
TSUEN WAN,19,13,2,0,0,0,0,0,2,1,0,0,42,46,3,1
CENTRAL AND WESTERN,15,9,0,0,0,2,2,0,2,1,3,1,46,49,6,0
SOUTHERN,9,13,15,0,2,2,1,2,2,0,6,3,35,50,6,5
SHUM SHUI PO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
