ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (April 2014)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2014-04-01,01,3,3,3,3,3,3*,3,3,3,3,3,3,5,4,4
,02,3,3,3,3,3,3*,3,3,3,3,2,2,4,4,3
,03,3,3,3,3,2,2*,3,3,3,2,2,2,4,4,3
,04,3,2,2,3,2,2*,3,3,3,2,2,2,3,3,3
,05,3,2,2,3,2,2*,3,2,3,2,2,2,3,3,2
,06,3,2,2,3,3,2*,2,2,3,3,3,2,3,3,3
,07,3,2,2,3,3,2*,3,2,3,3,3,2,3,3,3
,08,3,3,3,3,3,3*,3,3,3,3,3,2,3,4,3
,09,3,3,3,3,3,3*,3,3,3,3,3,2,4,5,3
,10,3,3,3,3,3,3*,3,3,3,3,3,2,4,5,4
,11,4,3,3,3,4,3*,3,3,3,3,3,2*,4,5,4
,12,3*,3,3,3,4,3*,3,3,3,3,3,2*,4,5,4
,13,3*,3,3,3,4,3*,3,3,3,3,3,2*,4,4,4
,14,3*,3,3,3,3,3*,3,3,3,3,3,2*,4,4,4
,15,3*,3,3,3,3,3*,3,3,3,3,3,2*,4,4,4
,16,4*,3,3,4,3,3*,3,3,3,3,3,3,5,5,4
,17,4,4,3,4,3,3*,3,3,3,3,3,3,5,5,4
,18,4,4,3,4,3,3*,3,3,3,3,3,3,5,5,5
,19,3,4,3,4,3,3*,3,3,3,3,3,3,5,5,5
,20,3,3,3,4,3,3*,3,3,3,3,3,3,5,5,4
,21,3,3,3,4,3,3*,3,3,3,3,3,3,5,5,4
,22,3,3,3,3,3,3*,3,3,3,3,3,3,5,4,4
,23,3,3,3,3,3,3*,3,3,3,3,3,3,4,4,4*
,24,3,3,3,3,3,3*,3,3,3,3,3,3,5,4,4
,Daily Max,4,4,3,4,4,3,3,3,3,3,3,3,5,5,5
2014-04-02,01,3,3,3,3,3,3*,3,3,3,3,3,3,4,4,3
,02,3,3,3,3,3,3*,3,3,3,3,3,3,4,3,3
,03,3,3,3,3,3,3*,3,3,3,3,3,3,3,3,3*
,04,3,3,3,3,3,3*,3,3,3,3,3,3,3,3,3*
,05,3,3,3,3,3,3*,3,3,3,3,3,4,3,3,3*
,06,3,3,4,3,3,3*,3,3,3,3,3,4,4,4,4*
,07,3,3,4,3,3,3*,3,3,3,3,4,4,4,4,4*
,08,3,3,4,4,3,3*,3,3,3,3,3,4,4,4,4*
,09,3,3,4,4,3,3*,3,3,3,3,3,4,4,4,4*
,10,3,3,4,4,3,3*,3,3,3,3,3,4,5,5,4
,11,4,3,4,3,4,3*,3,3,3,3,3,4,5,5,5
,12,4,3,4,4,3,3*,3,3,3,3,3,4,5,5,4
,13,3,3,3,3,3,3*,3,3,3,3,3*,4,5,5,4
,14,3,3,3,3,3,3*,3,3,3,3*,3*,3,5,5,4
,15,3,3,3*,3,3,3*,3,3,3,3*,3*,3,5,5,4
,16,3,3,4*,4,3,3*,3,3,3,3*,3*,3,4,4,4
,17,3,3,3*,4,3,4*,3,3,3,3,3*,4,4,4,4
,18,3,4,4,4,3,4*,3,4,3,3,3*,4,4,4,5
,19,4,4,4,4,4,4*,3,4,3,3,3*,4,5,5,5
,20,4,4,4,4,4,4*,3,4,3,3,4*,4,5,5,5
,21,4,3,4,4,4,4*,3,3,3,3,3,4,5,5,5
,22,4,3,3,4,3,4*,3,3,4,3,3,4,5,5,5
,23,3,3,3,4,3,4*,3,4,4,3,3,4,5,4,5
,24,3,3,3,4,3,4*,3,4,4,3,4,3,5,4,5
,Daily Max,4,4,4,4,4,4,3,4,4,3,4,4,5,5,5
2014-04-03,01,3,3,3,3,3,4*,3,3,4,3,3,3,5,4,4
,02,3,3,3,3,4,3*,3,3,4,3,3,3,4,3,4
,03,3,3,3,3,4,3*,3,3,4,3,3,3,3,3,3
,04,3,3,3,3,3,3*,3,3,4,3,3,3,3,3,3
,05,3,3,3,3,3,3*,3,3,3,3,3,3,3,3,3
,06,3,3,3,3,3,3*,3,3,3,3,3,3,3,3,3
,07,3,3,3,3,3,3*,3,3,3,3,3,3,3,3,3
,08,3,3,3,3,3,3*,3,3,3,3,3,3,4,4,3
