ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (August 2014)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2014-08-01,01,2,2,3,2,3,3*,2,2,3,3,2,3,3,3,3
,02,2,2,2,2,3,2*,2,2,2,3,2,2,3,2,2
,03,2,2,2,2,3,2*,2,2,2,3,2,2,2,2,2
,04,2,2,2,2,3,2*,2,2,2,2,2,2,2,2,2
,05,1,2,2,2,2,2*,2,2,2,2,2,2,2,2,2
,06,1,2,2,2,2,2*,2,2,2,2,2,2,2,2,2
,07,1,2,2,2,2,2*,2,2,2,2,2,2,2,2,2
,08,2,2,2,2,2,2*,2,2,2,2,2,2,3,2,2
,09,2,2,2,2,3,2*,2,2,2,2,2,2,4,4,3
,10,2,2,3,2,3,3*,3,3,3,3,3,3,5,5,3
,11,3,3,4,3,3,4*,3,3,3,3,3,3,5,5,4
,12,3,4,4,3,4,4,4,4,4,4,4,4,5,5,4
,13,4,4,4,4,4,4,5,5,4,5,4,4,6,6,5
,14,5,5,5,5,6,6,7,6,5,6,5,4,7,6,5
,15,6,6,7,6,7,8,9,8,7,7,7,5,8,7,6
,16,6,6,8,6,7,8,10,9,7,8,7,6,8,7,7
,17,5,6,8,6,6,8,10,8,6,8,7,6,6,6,7
,18,4,5,7,5,5,6,8,7,5,7,6,6,5,6,6
,19,4,5,6,5,5,5,7,6,5,6,6,5,6,6,6
,20,5,5,6,5,5,5,6,6,5,5,5,5,7,6,6
,21,5,5,6,5,5,5,6,6,5,5,5,4,7,7,6
,22,5,5,6,5,5,5,6,6,4,5,5,4,7,6,6
,23,5,5,5,5,5,5,5,5,4,4,5,4,7,6,6
,24,5,5,5,5,5,5,5,5,4,4,4,4,7,6,6
,Daily Max,6,6,8,6,7,8,10,9,7,8,7,6,8,7,7
2014-08-02,01,5,4,5,5,5,4,5,5,4,4,4,4,6,6,6
,02,5,4,5,5,4,4,5,4,3,4,4,3,6,5,5
,03,4,4,5,5,4,4,5,4,3,4,4,3,5,5,5
,04,4,4,5,5,3,3,4,4,3,3,3,3,4,4,5
,05,4,4,4,4,3,3,4,4,3,3,3,3,4,4,4
,06,4,4,4,4,3,3,4,4,3,3,3,2,4,4,4
,07,3,3,4,4,3,3,4,4,3,3,3,2,4,4,4
,08,3,4,4,4,3,3,4,4,3,3,3,2,5,4,4
,09,3,4,4,4,4,4,4,4,3,4,3,3,5,5,4
,10,4,3,4,4,4,4,4,4,3,4,3,3,6,6,4
,11,4,3,4,4,4,4,5,4,3,4,3,3,6,6,4
,12,4,3,4,4,4,4,5,4,3,4,3,4,6,5,4
,13,4,3,4,4,4,4,5,4,3,4,4,5,6,5,5
,14,4,4,5,4,4,4,5,5,4,4,4,5,5,4,5
,15,4,4,5,4,5,5,5,5,5,5,4,5,5,4,5
,16,4,4,5,5,5,5,6,6,5,5,5,4,5,5,5
,17,5,4,5,5,5,5,6,6,6,5,5,5,6,6,6
,18,5,5,6,5,6,6,6,6,6,6,5,5,6,6,6
,19,5,5,6,5,5,5,6,6,5,6,5,4,6,5,6
,20,4,4,5,4,5,4,5,5,4,5,5,4,5,5,6
,21,3,3,4,4,4,3,4,4,3,4,4,4,4,4,5
,22,3,3,4,3,3,3,3,4,3,4,3,3,3,3,4
,23,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4
,24,3,3,3,3,3,3,3,4,3,4,3,3,4,4,4
,Daily Max,5,5,6,5,6,6,6,6,6,6,5,5,6,6,6
2014-08-03,01,3,3,3,3,4,4,4,4,3,4,4,4,4,4,4
,02,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4
,03,3,3,3,4,3,3,4,4,3,4,4,4,4,4,4
,04,3,3,3,4,3,3,3,4,3,3,3,3,3,4,4
,05,3,3,3,4,3,3,3,4,3,3,3,3,3,4,4
,06,3,3,3,4,3,3,3,4,3,3,3,2,3,4,4
,07,3,3,4,4,3,3,3,3,2,3,3,2,3,4,4
,08,3,3,4,4,3,3,3,3,2,3,3,2,4,4,4
,09,3,3,4,4,3,3,3,3,3,3,3,2,5,4,5
,10,3,4,4,4,3,3,3,4,3,3,3,3,5,5,5
,11,4,4,4,4,4,4,4,4,3,4,3,3,6,5,5
,12,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5
,13,4,4,4,4,4,4,4,4,4,4,4,5,6,4,5
,14,4,4,5,5,5,5,4,5,4,4,4,5,5,4,5
,15,4,4,5,5,5,5,5,5,4,5,5,5,6,5,5
,16,4,4,5,5,5,5,5,5,4,5,5,4,6,5,5
,17,4,4,5,4,4,5,5,5,4,5,5,5,6,5,5
,18,3,4,5,4,4,4,5,5,4,5,4,5,5,4,4
,19,3,3,4,3,3,3,4,4,3,4,4,4,4,4,4
,20,3,3,4,3,3,3,3,4,3,4,3,4,4,3,4
,21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
,22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
,23,2,2,3,3,3,3,3,3,2,3,3,2,3,3,4
,24,2,2,3,3,3,3,3,3,2,3,3,2,3,2,3
,Daily Max,4,4,5,5,5,5,5,5,4,5,5,5,6,5,5
2014-08-04,01,2,2,3,3,3,2,2,3,2,3,3,2,3,2,3
,02,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3
,03,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2
,04,2,2,2,2,3,2,2,3,2,2,2,1,2,2,2
,05,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2
,06,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,07,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,08,2,2,2,2,3,2,2,3,2,2,2,1,2,3,3
,09,2,2,3,3,3,3,2,3,2,3,2,2,3,3,3
,10,2,3,3,3,3,3,3,3,3,3,3,2,4,4,3
,11,3,3,3,3,3,3,3,3,3,3,3,2,5,5,5*
,12,3,3,4,3,3,3,3,3,3,3,3,3,5,4,5*
,13,3,3,4,3,4,4,3,4,3,4,3,3,5,4,4
,14,3,3,4,3,4,4,3*,4,3,4,3,4,4,4,4
,15,3,3,4,3,4,4,3*,4,3,4,4,4,4,4,4
,16,,,,,,,,,,,,,,,
,17,3,3,4,4*,4,4,4,4,3,4,4,4,5,5,4
,18,3,3,3,4*,4,4,4,5,3,5,4,3,5,4,5
,19,3,3,3,3*,4,4,4,4,3,5,4,3,6,4,5
,20,3,3,3,4*,4,3,3,4,3,4,3,3,6,4,5
,21,3,3,3,3,3,3,3,3,2,4,3,3,5,4,4
,22,3,3,3,3,3,3,3,3,2,3,3,3,5,3,4
,23,3,3,3,3,3,3,3,3,2,3,3,2,5,3,4
,24,3,3,3,3,3,3,3,3,2,3,3,2,4,3,4
,Daily Max,3,3,4,4,4,4,4,5,3,5,4,4,6,5,5
2014-08-05,01,2,3,3,3,3,2,3,3,2,3,3,2,4,3,3
,02,2,3,3,3,2,2,2,3,2,3,2,2,3,3,3
,03,2,2,2,2,2,2,2,3,2,2,2,1,3,2,3
,04,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2
,05,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2
,06,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2
,07,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,08,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3
,09,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3
,10,2,3,3,3,2,3,2,3,2,3,2,2,4,3,3
,11,3,3,3,3,3,3,3,3,2,3,2,2,4,4,4
,12,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
,13,3,3,3,3,3,3,3,3,3,3,3,3*,4,4,4
,14,3,3,3,3,3,3,3,3,3,3,3,3*,5,4,4
,15,3,3,4,3,3,3,3,3,3,3,3,3,5,4,4
,16,3,3,4,4,3,3,3,4,3,3,3,3,5,4,5
,17,3,3,4,4,4,4,3,4,3,4,3,3,6,4,4
,18,3,3,3,4,4,4,3,4,3,4,3,3,5,4,5
,19,3,3,3,4,4,4,3,4,3,4,3,3,5,4,5
,20,3,3,3,4,3,3,3,4,3,3,3,4,5,4,4
,21,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
,22,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
,23,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
,24,3,3,3,3,3,3,3,3,2,3,3,3,4,3,4
,Daily Max,3,3,4,4,4,4,3,4,3,4,3,4,6,4,5
2014-08-06,01,3,3,3,3,3,3,3,3,2,3,3,2,4,3,3
,02,2,3,3,3,2,2,3,3,2,3,2,2,4,3,3
,03,2,2,2,3,2,2,3,3,2,3,2,2,3,2,2
,04,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,06,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2
,07,2,2,2,3,2,2,2,3,2,2,2,2,3,3,2
,08,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3
,09,2,2,3,3,2,2,2,2,2,2,2,2,4,3,3
,10,2,3,3,3,2,2,2,3,2,2,2,2,4,4,3
,11,2,3,3,3,3,3,2,3,2,2,2,2,4,4,3
,12,2,3,3,2,3,2,2,3,2,3,2,2,4,4,3
,13,2,2,3,2,3,2,2,3,2,3,2,2,4,4,3
,14,2,3,3,3,3,2,2,3,2,3,2,2,4,4,4
,15,2,3,3,3,3,3,2,3,2,3,2,2,4,4,4
,16,2,3,3,3,3,3,3,3,2,3,3,2,4,4,4
,17,2,3,3,3,3,3,3,3,2,3,3,2,4,4,4
,18,2,3,3,3,3,3,3,3,2,3,3,2,4,3,4
,19,2,2,3,3,3,3,3,3,2,3,2,2,5,3,4
,20,2,2,3,3,3,3,3,3,2,3,3,2,5,3,4
,21,2,2,3,3,3,3,3,3,2,3,3,2,6,3,4
,22,2,2,3,3,3,3,2,3,2,3,3,2,5,3,3
,23,2,2,3,3,3,3,2,3,2,3,2,2,5,3,3
,24,2,2,3,2,3,2,2,3,2,3,2,1,4,3,3
,Daily Max,3,3,3,3,3,3,3,3,2,3,3,2,6,4,4
2014-08-07,01,2,2,3,2,3,2,2,3,2,3,2,1,4,3,3
,02,2,2,3,2,3,2,2,3,2,2,2,1,3,3,3
,03,2,2,2,2,3,2,2,3,2,2,2,1,2,3,2
,04,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2
,05,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2
,06,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2
,07,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,08,2,2,2,2,2,2,2,3,2,2,2,1,3,3,3
,09,2,3,3,3,2,2,2,3,2,2,2,1,3,4,3
,10,2,3,3,3,3,2,2,3,2,2,2,2,4,4,3
,11,2,3,3,3,3,3,2,3,2,3,2,2,4,5,3
,12,2,3,3,3,3,3*,3,3,2,3,3,2,5,5,4
,13,2,3,3,3,3,3*,3,3,2,3,3,3,5,4,4
,14,3,3,3,3,4,3*,3,3,3,3,3,3,4,4,4
,15,3,3,4,3,4,3*,3,4,3,3,3,3,4,4,4
,16,3,3,4,3,4,4,3,4,3,4,4,3,4,3,4
,17,3,3,4,3,4,4,3,4,3,3,3,3,4,3,4
,18,3,3,4,3,4,3,3,3,3,3,3,3,4,3*,4
,19,3,2,3,3,3,3,3,3,2,3,3,3,4,4*,4
,20,2,2,3,3,3,3,3,3,2,3,3,2,4,4,4
,21,2,2,3,3,3,3,3,3,2,3,3,2,4,4,3
,22,2,2,3,3,3,3,2,3,2,3,3,2,4,3,3
,23,2,2,3,2,3,2,2,3,2,3,2,2,4,3,3
,24,2,2,3,2,3,2,2,3,2,2,2,1,3,3,3
,Daily Max,3,3,4,3,4,4,3,4,3,4,4,3,5,5,4
2014-08-08,01,2,2,2,2,3,2,2,2,2,2,2,1,3,3,3
,02,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2
,03,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,04,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,05,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
,06,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2
,07,2,2,2,2,3,2,2,2,1,2,2,1,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2
,09,2,2,3,2,2,2,2,2,2,2,2,1,4,4,3
,10,2,2,3,3,3,3,2,3,2,2,2,2,5,5,3
,11,2,3,3,3,3,3,2,3,2,2,2,2,5,5,3
,12,3,3,3,3,3,3,3,3,2,3,3,2,5,4,3
,13,3,3,3,3,3,3,3,3,3,3,3,2,5,4,4
,14,3,3,4,3,4,3,3,4,3,3,3,3,5,3,4
,15,3,3,4,3,4,4,4,4,3,4,3,3,5,3,4
,16,3,3,4,3,4,3,4,4,3,4,3,3,4,3,4
,17,3,3,3,3,4,3,4,3,2,3,3,3,3,3,4
,18,3,3,3,3,4,3,3,3,2,3,3,3,4,3,4
,19,3,3,3,3,3,3,3,3,2,3,3,3,4,4,4
,20,2,2,3,3,3,3,3,3,2,3,3,2,4,4,4
,21,2,2,3,3,3,3,2,3,2,3,3,2,3,4,4
,22,2,2,3,3,3,3,2,3,2,3,3,2,3,3,4
,23,2,2,3,3,3,3,2,3,2,3,2,2,3,3,3
,24,2,2,3,2,3,2,2,3,2,3,2,2,3,2,3
,Daily Max,3,3,4,3,4,4,4,4,3,4,3,3,5,5,4
