ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (October 2014)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2014-10-01,01,6,5,6,5,5,5,5,6,6,4,4,4,5,4,5
,02,5,5,5,5,5,4,4,5,5,4,4,4,5,4,5
,03,5,4,5,5,4,4,4,5,4,4,4,4,4,4,4
,04,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
,05,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
,06,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3
,07,3,3,4,3,4,3,4,4,3,4,4,3,3,3,3
,08,3,3,4,3,4,3,4,3,3,4,4,3,3,3,3
,09,3,3,4,3,4,3,3,3,3,4,4,3,3,3,3
,10,3,3,4,4,4,4,4,3,3,4,4,3,3,3,3
,11,3,3,4,4,4,4,4,4,3,4,4,4,3,3,4
,12,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,14,4,4,5,5,5,5,5,4,5,5,5,4,4,4,4
,15,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5
,16,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5
,17,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4
,18,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4
,19,5,4,5,5,5,5,4,5,4,5,5,5,4,4,4
,20,5,5,5,5,5,4,4,4,4,5,5,5,4,4,5
,21,4,5,5,5,4,4,4,4,4,5,5,5,4,4,5
,22,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4
,23,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4
,24,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4
,Daily Max,6,5,6,5,5,5,5,6,6,5,5,5,5,4,5
2014-10-02,01,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
,02,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4
,03,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4
,04,4,3,4,4,4,3,3,4,3,4,4,4,3,4,4
,05,4,3,4,4,4,3,3,4,3,4,4,4,3,4,4
,06,4,3,4,4,4,3,3,4,3,3,4,3,3,3,4
,07,4,3,4,4,4,3,3,3,3,3,4,3,3,3,4
,08,3,3,4,4,4,3,3,3,3,3,3,2,3,3,4
,09,3,3,4,4,4,3,3,3,3,3,3,2,3,3,3
,10,3,3,4,4,4,3,3,4,3,3,4,3,3,3,4
,11,4,3,4,4,4,4,4,4,3,4,4,3,3,3,4
,12,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
,13,4,4,4,4,5,5,5,5,4,5,5,4,4,4,4
,14,5,4,5,5,6,5,6,6,5,5,5,5,4,4,5
,15,6,4,5,6,6,6,8,7,6,6,6,5,4,5,6
,16,6,5,6,6,6,6,8,8,7,7,6,6,5,6,6
,17,6,5,6,6,6,6,9,8,7,7,6,5,5,6,6
,18,6,6,6,7,6,6,9,8,8,7,6,5,5,6,7
,19,7,6,6,7,6,6,8,8,7,6,6,5,5,6,7
,20,6,6,6,6,6,5,7,7,6,6,6,5,5,6,6
,21,6,5,6,6,6,5,6,6,5,5,5,4,5,5,6
,22,6,5,6,6,5,4,6,6,5,5,5,4,5,5,6
,23,5,5,6,6,5,4,5,6,5,5,5,3,5,5,6
,24,5,5,6,5,5,4,5,5,4,5,4,3,4,5,5
,Daily Max,7,6,6,7,6,6,9,8,8,7,6,6,5,6,7
2014-10-03,01,5,4,5,5,5,4,5,5,4,4,4,3,4,4,5
,02,5,4,5,5,4,4,4,5,4,4,4,3,4,4,5
,03,4,4,5,5,4,3,4,5,4,4,4,3,4,4,5
,04,4,4,4,4,4,3,4,5,3,3,3,3,4,4,4
,05,4,4,4,4,3,3,4,5,3,3,3,2,3,3,4
,06,4,4,4,4,3,3,4,4,3,3,3,2,3,3,4
,07,4,4,4,4,4,3,3,4,3,3,3,2,3,4,4
,08,4,4,4,4,4,3,3,4,3,4,3,3,4,4,4
,09,4,4,4,4,4,3,4,4,3,4,3,3,4,4,4
,10,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
,11,4,4,5,4,5,4,5,5,4,5,5*,4,4,4,5
,12,5,4,5,5,5,4,5,5,5,5,5*,4,4,4,5
,13,5,4,5,5,6,5,6,6,5,5,5*,5,4,4,5
,14,5,4,5,5,6,5,6,6,5,6,5*,5,4,4,5
,15,4,4,5,5,6,5,6,5,5,5*,5*,4,4,4,5
,16,4,4,5,5*,5,5,5*,5,5,5*,4,4,4,4,4
,17,4,4,5,4*,5,5,5*,5,5,5,4,5,4,4,4
,18,4,4,5,4*,5,5,5,4,5,5,4,5,4,4,5
,19,4,4,5,4*,5,5,4,4,4,5,5,5,4,4,5
,20,4,4,5,5,5,4,4,4,4,5,5,5,4,4,5
,21,4,4,5,5,5,4,4,4,4,5,5,4,4,4,4
,22,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
,23,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4
,24,4,4,4,4,4,3,3,3,3,4,4,4,3,3,4
,Daily Max,5,4,5,5,6,5,6,6,5,6,5,5,4,4,5
2014-10-04,01,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4
,02,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4
,03,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
