ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (January 2015)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2015-01-01,01,4,5,6,5,5,4,4,7,4,4,5,4,7,7,6
,02,4,5,6,5,5,4,4,6,4,4,4,4,7,7,6
,03,4,5,6,5,5,4,4,5,4,4,4,4,6,7,5
,04,4,5,5,5,5,4,4,4,4,3,4,4,6,6*,5
,05,3,4,5,4,4,4,3,4,4,3,4,3,5,5*,4
,06,3,4,4,4,4,4,4,4,4,3,4,3,5,4,4
,07,3,4,4,4,4,3,4,4,4,3,4,4,5,4,4
,08,3,4,4,4,4,4,4,4,3,3,4,4,5,4,4
,09,3,4,4,4,4,4,4,4,3,3,4,4,6,5,4
,10,3,4,4,4,4,4,4,4,3,3,4,4,6,5,4
,11,3,4,4,4,4,4,4,4,4,4,4,4,6,5,4
,12,4*,4,4,4,4,4,5,5,4,4,5,5,6,5,5
,13,4*,4,5,5,5,5,5,5,5,5,5,5,6,5,5
,14,4*,5,5,5,5,5,5,5,5,5,5,5,6,6,5
,15,4*,5,5,5,5,5,5,5,5,5,5,6,6,6,6
,16,4,5,6,5,5,5,6,6,6,5,6,6,6,6,6
,17,4,6,6,6,6,6,6,6,6,6,6,6,7,6,6
,18,4,6,6,6,6,5,6,6,6,6,6,7,7,6,7
,19,5,6,6,6,6,5,6,6,5,5,6,7,7,6,7
,20,5,6,6,6,6,5,5,5,5,5,5,7,8,6,7
