ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (February 2015)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2015-02-01,01,4,4,5,4,4,4,3,3,4,4*,3,4*,6,4,4
,02,4,4,5,4,4,4,3,3,4,4*,4,4*,5,4,4
,03,4,4,5,4,4,4,3,3,4,5*,4,4*,6,4,4
,04,3,4,4,4,4,4,3,3,4,4*,4,4*,5,4,4
,05,3,4,4,4,4,3,3,3,3,4*,4,3*,5,4,4
,06,3,3,4,4,4,3,3,3,3,3*,3,3*,4,4,4
,07,3,3,4,3,4,3,3,3,3,3*,3,3*,4,4,4
,08,3,3,4,3,3,3,3,3,3,3*,3,3*,4,4,4
,09,3,3,4,3,4,3,3,3,3,3*,3,3*,5,4,4
,10,3,3,3,3,4,3,3,3,3,3*,3,3*,5,4,4
,11,3,3,3,3,4,3,3,3,3,3*,3,3*,5,4,4
,12,3,3,4,3,4,3,3,3,3,3*,3,3*,5,4,4
,13,3,3,4,4,4,3,4,3,3,4*,3,3*,5,4,4
,14,3,4,4,4,4,4,4,4,4,4*,4,4*,5,4,4
,15,3,4,4,4,4,4,5,4,4,5*,4,4*,5,4,4
,16,4,4,5,4,5,4,5,4,4,5*,5,5*,5,4,5
,17,4,4,5,4,5,4,5,5,5,5*,5,5*,5,4,5
,18,4,4,5,5,5,5,6,5,6,5*,5,5*,6,4,6
,19,4,4,5,5,5,5,5,5,6,5*,5,5*,5,5,6
,20,4,4,5,5,5,5,5,5,5,5*,5,5*,6,5,6
,21,4,5,5,5,5,4,5,5,5,5*,5,5*,6,5,6
,22,4,5,5,5,5,4,5,5,5,5*,4,5*,6,5,6
,23,4,4,5,5,5,4,5,5,4,4*,4,5*,6,5,6
,24,4,4,5,5,5,4,4,5,4,4*,4,5*,6,5,5
,Daily Max,4,5,5,5,5,5,6,5,6,5,5,5,6,5,6
2015-02-02,01,4,4,4,5,5,4,4,4,4,5*,4,5*,6,4,5
,02,4,4,4,4,4,4,4,4,4,5*,4,4*,5,4,4
,03,3,4,4,4,4,4,4,4,4,6*,4,4*,5,4,4
,04,3,3,4,4,4,4,3,4,4,5*,4,4*,4,4,4
,05,3,3,4,4,4,4,3,3,4,5*,4,4*,4,4,4
,06,3,3,4,4,4,4,3,4,3,4*,4,3*,4,4,4
,07,3,3,4,4,4,3,4,4,3,4*,4,3*,4,4,4
,08,3,3,4,4,4,3,4,4,3,4*,4,3*,4,4,4
,09,3,4,4,4,4,3,4,4,3,4*,4,3*,5,4,4
,10,3,4,4,4,4,4,4,4,4,4*,4,3*,5,5,4
,11,4,4,4,4,5,4,4,4,4,4*,4,3*,5,5,5
,12,4,4*,5,4,5,5,4,4,4,4*,4,4*,5,5,5
,13,4,4*,5,5,5,5,5,4,5,5*,5,5*,6,5,6
,14,5,5*,5,5,5,5,5,5,5,6*,5,5*,6,6,6
,15,5,5*,6,5,6,6,6,5,6*,6*,6,6*,6,6,6
,16,5,5*,6,6,6,6,6,6,6*,6*,6,6*,6,6,6
,17,4,5*,5,5,6,6,7,6,6,6*,5,6*,6,6,6
,18,4,5,5,5,6,6,7,6,6,6*,5,6*,6,6,6
,19,4,5,5,5,5,5,6,6,5,6*,5,6*,6,6,6
,20,4,5,5,5,5,5,6,5,5,6*,5,5*,6,6,6
,21,4,4,5,5,5,5,5,5,5,5*,5,5*,7,5,6
,22,4,4,5,5,5,5,5,5,4,5*,5,4*,6,5,5
,23,4,3,4,5,5,5,5,5,4,4*,4,4*,6,4,5
,24,3,3,4,4,4,4,4,4,4,4*,4,4*,5,4,5
,Daily Max,5,5,6,6,6,6,7,6,6,6,6,6,7,6,6
2015-02-03,01,3,3,4,4,4,4,4,4,4,3*,4,3*,5,4,4
,02,3,3,4,4,4,4,4,4,4,3*,4,3*,4,3,4
,03,3,3,3,3,4,4,4,4,4,3*,3,3*,4,3,4
,04,3,3,3,3,4,4,3,4,4,3*,3,3*,4,3,3
,05,3,3,4,3,3,3,3,3,4,3*,3,3*,4,3,3
,06,3,3,4,3,3,3,3,3,3,3*,3,3*,4,3,4
,07,3,3,4,3,3,3,3,3,3,3*,3,3*,4,3,4
,08,3,3,4,4,3,3,3,3,3,4*,3,3*,5,4,4
,09,3,4,4,4,4,3,3,3,3,4*,3,3*,5,4,4
,10,3,4,4,4,4,4,3,3,3,4*,4,3*,6,5,5
,11,4,4,4,4,4,4,4,3,4,4*,4,4*,6,5,5
,12,4,4,4,4*,4,4,4,4,4,4*,4,4*,6,5,5
,13,4,4,4,4*,5,5,4,4,4,4*,4,4*,5,5,5
,14,4,4,4,4,5,5,5,4,5,4*,4,4*,5,5,5
,15,4*,4*,5,4,5,5,6,5,5,5*,5,5*,5,5,5
,16,4*,4*,5,5,5,5,7,6,5,5*,5,5*,5,5,5
,17,4*,5*,5,5,6,5,7,7,6,5*,5,5*,6,6,6
,18,5,5*,5,5,6,6,7,7,5,4*,5,5*,7,6,6
,19,5,5*,5,5,6,5,6,7,5,4*,5,5*,7,5,6
,20,5,5*,5,5,6,5,5,6,5,4*,5,5*,7,5,6
,21,5,4*,4,5,6,5,5,5,5,4*,5,5*,7,5,5
,22,5,4*,4,5,5,5,4,5,5,4*,4,4*,7,5,5
,23,5,4*,4,5,5,4,4,5,6,4*,4,4*,6,5,5
,24,4,4*,4,5,5,4,4,5,6,4*,4,3*,5,5,5
,Daily Max,5,5,5,5,6,6,7,7,6,5,5,5,7,6,6
2015-02-04,01,4,4*,4,4,4,4,4,5,6,4*,4,3*,5,5,5
,02,4,4*,4,4,4,4,4,5,5,4*,4,3*,5,4,5
,03,4,4*,4,4,4,4,4,4,5,4*,4,3*,4,4,4
,04,3,3*,4,4,4,4,4,4,4,4*,4,3*,4,4,4
,05,3,3*,4,4,4,3,4,4,4,4*,4,3*,4,4,4
,06,3,3*,4,4,4,3,4,4,4,4*,4,4*,4,4,4
,07,3,4*,4,4,4,3,3,4,4,4*,4,3*,4,4,4
,08,3,4*,4,4,4,4,4,4,4,4*,4,3*,5,4,4
,09,3,4*,4,4,4,4,4,4,4,4*,4,3*,5,5,4
