ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (October 2018)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2018-10-01,01,6,6,5,6,5,4,5,5,5,4,5,4,*,6,6,6
,02,6,6,5,6,5,4,5,5*,5,5,4,4,4,6,6,6
,03,6,6,5,6,5,4,5,5*,5,5,4,4,4,6,5,6
,04,6,6,5,6,5,4,5,4,5,4,4,4,4,5,6,6
,05,6,6,5,6,5,4,5,4,5,4,4,4,5,5,5,5
,06,5,5,5,5,5,4,5,4,5,4,4,5,5,5,5,5
,07,5,5,5,5,5,4,4,4,5,4,4,5,5,5,5,5
,08,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5
,09,5,5,5,5,5,5,5,4,5,5,5,5,6,5,5,5
,10,6,6,5,5,5,5,5,5,5,5,5,6,6,5,5,6
,11,6,6,5,6,6,5,6,5,6,5,6,6,6,6,6,6
,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,13,6,6,6,6,6,6,6,7,7,6,6,7,7,6,6,6
,14,6,7,6,6,6,6,7,7,7,7,7,7,7,6,6,6
,15,7,7,6,7,6,6,7,7,8,7,7,7,7,6,6,7
,16,7,7,6,7,7,6,7,7,8,7,7,7,7,6,7,7
,17,7,7,6,7,7,7,7,8,8,8,7,7,7,6,7,8
,18,7,7,6,7,7,7,6,8,8,8,7,7,7,6,7,8
,19,7,7,6,7,7,6,7,7,8,7,7,7,7,6,7,7
,20,7,7,6,7,7,6,7,7,8,6,6,7,7,7,7,7
,21,7,7,6,7,6,6,7,6,7,6,6,7,7,7,7,7
,22,7,7,6,7,6,5,6,6,7,6,6,6,6,7,6,7
,23,8,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6
