ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (November 2018)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2018-11-01,01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,02,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,03,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
,04,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4
,05,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,4
,06,5,5,5,5,5,4,5,5,5,4,4,5,4,4,4,4
,07,4,5,5,5,5,4,5,4,5,4,4,5,5,4,5,4
,08,4,5,5,4,5,4,5,4,5,4,4,5,5,4,5,4
,09,4,5,5,5,5,4,5,5,5,4,4,5,5,5,5,4
,10,5,5,5,5,5,5,5,5,5,4,5,5,5,5,6,5
,11,5,5,5,5*,5,5,5*,5,6,5,5,5,5,5,6*,5
,12,5,5,6,5*,5,5,5*,6,6,5,5,5*,6,6,6*,5
,13,5,6,6,6*,6,6,6,6,6,6,6,6*,6,6,6*,6
,14,6,6,6,6*,6,6,6,6,7,7,6,6*,6,6,7*,6
,15,6,6,6,6,6,6,6*,6,7,7,6,6*,6,6,7,6
,16,6,6,6,6,6,6,6*,6,7,7,6,6*,6,6,7,6
,17,5,6,6,5,6,5,6,6,6,6,6,6*,6,6,6,6
,18,5,5,6,5,5,5,6,5,6,6,5,5,6,6,6,5
,19,5,5,5,5,5,5,5,5,6,5,5,5,5,5,6,5
,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5
,21,4,5,5,5,5,5,5,5,5,4,5,5,4*,5,6,5
,22,4,4,4,5,5,4,5,4,5,4,5,5,4*,5,5,4
,23,4,4,4,4,4,4,5,4,5,4,4,4,4*,5,5,4
,24,4,4,4,4,4,4,4,4,5,4,4,4,4*,4,4,4
,Daily Max,6,6,6,6,6,6,6,6,7,7,6,6,6,6,7,6
2018-11-02,01,4,4,4,4,4,4,4,4,5,4,4,4,*,4,4,4
,02,4,4,4,4,4,4,4,4,5,4,4,4,*,4,4,4
,03,4,4,4,4,4,4,4,4,5,4,4,4,*,4,4,4
,04,4,4,4,4,4,4,4,4,5,4,4,4,*,4,4,4
,05,4,4,4,4,4,4,4,4,5,4,4,4,*,4,4,4
,06,4,4,4,4,4,4,4,4,5,4,4,4,*,4,4,4
,07,4,4,4,4,4,4,4,4,4,4,4,4,*,4,4,4
,08,4,3,4,4,4,4,4,4,4,4,4,4,*,4,4,4
,09,3,3,4,4,4,4,4,4,4,4,4,4,*,4,4,4
,10,3,4,4,4,4,4,4,4,4,4,4,4,*,4,5,4
,11,4,4,4,4,4,4,4,4,4,4,4,4,*,4,5,4
,12,4,4,4,4,4,4,4,4,4,4,4,4*,*,4,5,4
,13,4,4,4,4,4,4,4,4,5,4,4,4*,*,4,5,4
,14,4,4,5,4,4,4,4,5,5,5,5,5*,*,5,5,4
,15,5,5,5,5,5,5,5,5,5,5,5,5*,*,5,5,5
,16,5,5,5,5,5,5,5,5,6,5,5,5,4,5,5,5
,17,5,5,5,5,5,5,5,5,5,5,5,5,4,5,6,5
,18,5,5,5,5,5,5,5,5,5,5,5,5,4,5,6,5
,19,5,5,5,4,4,4,4,4,4,4,4,5,4,5,6,5
,20,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5
,21,4,4,4,4,4,4,4,3,4,3,4,4,3,5,5,4
,22,3,4,4,4,3,3,4,3,3,3,3,3,3,4,4,4
,23,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
,24,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
,Daily Max,5,5,5,5,5,5,5,5,6,5,5,5,4,5,6,5
2018-11-03,01,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,02,3,3,2,3,3,3,3,3,3,2,2,3,2,3,3,3
,03,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2
,04,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
,10,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2
,11,2,2,3,2,2,2,2,2,3,2,2,2,2,3,3,3
,12,2,3,3,2,3,2,3,2,3,2,2,2,2,3,3,3
,13,3,3,3,2,3,2,3,3,3,2,2,2,2,4,3,3
,14,3,3,3,3,3,2,3,3,3,3,3,2,2,4,3,3
,15,3,3,3,3,3,2,3,3,3,3,3,3,3,4,4,3
,16,3,3,3,3,3,3,3,4,4,3,4,3,3,4,4,3
,17,3,3,3,3,4,3,3,4,4,3,4,4,3,4,4,4
,18,4,3,3,4,4,4,4,4,5,3,5,5,4,4,4,4
,19,4,3,3,4,4,4,4,5,5,3,5,5,4,4,5,5
,20,4,4,4,4,4,4,4,5,5,3,4,5,4,4,5,5
,21,4,3,4,4,4,4,4,5,5,3,4,5,3,4,5,4
,22,4,3,3,4,4,4,4,4,5,3,4,4,3,4,4,4
,23,3,3,3,3,3,3,4,4,5,3,3,4,3,4,4,3
,24,3,3,3,3,3,3,3,4,4,3,3,3,2,3,3,3
,Daily Max,4,4,4,4,4,4,4,5,5,3,5,5,4,4,5,5
2018-11-04,01,3,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3
,02,3,3,2,2,2,2,3,3,3,3,2,2,2,3,3,2
,03,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2
,04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,08,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
,09,2,3,2,2,2,2,3,2,2,2,2,2,2,3,3,3
,10,3,3,3,2,2,2,3,2,2,2,2,2,2,3,3,3
,11,3,3,3,3,2,2,3,2,2,2,2,2,2,3,3,3
,12,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3
,13,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
,14,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3
,15,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4
,16,4,4,4,4,3,3,4,3,3,3,3,4,4,4,4,4
,17,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4
,18,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4
,19,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4
,20,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4
,21,4,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4
,22,3,3,3,4,4,3,4,3,3,3,4,4,4,4,4,4
,23,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4
,24,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
,Daily Max,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4
2018-11-05,01,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
,02,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3
,03,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3
,04,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
,05,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
,06,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
,07,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
,08,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
,09,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
,10,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3
,11,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3
,12,3,3,3,3,3,3,3*,3,3,3,3,3,3,3*,4,3
