ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (January 2019)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2019-01-01,01,2,2,3,2,2,2,2,2,3,2,2,2,2,3,3,3
,02,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,03,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,10,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
,11,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
,12,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,13,2,2,3,2,2,2,2,2,3,2,2,2,2,3,3,3
,14,2,3,3,3,3,2,2,3,3,3,3,2,2,4,3,3
,15,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3
,16,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
,17,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
,18,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
,19,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
,20,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
,21,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
,22,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
,23,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3
,24,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,Daily Max,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
2019-01-02,01,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,02,3,3,3,3,3,3,3,2,2,2,3,3,*,3,3,3
,03,3,3,3,3,2,2,3,2,2,2,2,3,*,3,3,3
,04,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2
,05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,08,2,2,3,2,2,2,2,2,2,2*,2,2,2,2,3,2
,09,2,2,3,2,2,2,2,2,2,2*,2,2,2,3,3,3
,10,2,2,3,2,3,2,2,2,2,2*,2,2,2,3,4,3
,11,2,3,3,2,3,2,2,2,2,3*,2,2,2,3,3,3
,12,2,3,3,2,3,2,2,2,3,3*,2,2,2,3,3,3
,13,2,3,3,2,3,2,2,3,3,3*,2,2,2,3,3,3
,14,3,3,3,3,3,3,2,3,3,3*,3,2,2,3,3,3
,15,3,3,3,3,3,3,3,3,3,3*,3,3,3,4,3,3
,16,3,3,3,3,3,4,3,3,3,4*,3,3,3,4,4,4
,17,3,4,4,3,4,4,3,3,3,4*,4,3,3,4,4,4
,18,3,4,4*,3,4,4,3,3,3,3,4,3,3,4,5,4
,19,3,4,4*,3,4,4,3,3,3,3,3,3,3,4,5,4
,20,3,4,4*,3,4,3,3,3,3,3,3,3,3,4,6,4
,21,3,4,4,3,3,3,3,3,3,3,3,3,2,4,5,4
,22,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,3
,23,3,3,3,3,3,3,3,3,3,2,3,3,2,4,4,3
,24,3,3,3,3,3,3,2,3,3,2,2,2,2,3,3,3
,Daily Max,3,4,4,3,4,4,3,3,3,4,4,3,3,4,6,4
2019-01-03,01,2,3,2,3,2,3,2,3,3,2,2,2,2,3,3,3
,02,2,3,2,2,2,2*,2,2,2,2,2,2,2,3,3,3
,03,2,3,2,2,2,2*,2,2,2,2,2,2,2,2,3,2
,04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,10,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,11,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,12,2,2,3,2,2,3,2,2,2,2,2,2,2,3,3,3
,13,2,2,3,2,2,3,2,3,3,2,2,2,2,3,3,3
,14,3,3,3,2,2,3,2,3,3,2,2,2,2,3,3,3
,15,3,3,3,2,2,3,2,3,3,3,2,2,2,3,3,3
,16,3,3,3,3,2,3,2,3,3,3,2,2,2,3,3,3
,17,3,3,3,3,2,3,2,3,3,3,2,2,2,4,4,3
,18,3,3,3,3,3,3,2,3,3,3,2,2,2,4,4,3
,19,3,3,3,3,3,3,2,3,3,3,2,3,2,4,3,3
,20,3,3,3,3,3,3,2,3,3,3,2,3,2,4,3,3
,21,3,3,3,3,3,3,2,3,3,3,2,3,2,4,3,3
,22,3,3,2,3,3,3,2,3,3,3,2,2,2,3,3,3
,23,2,3,2,3,3,3,2,3,3,3,2,2,2,4,3,3
,24,2,2,2,3,2,3,2,3,3,3,3,2,2,3,3,3
,Daily Max,3,3,3,3,3,3,2,3,3,3,3,3,2,4,4,3
2019-01-04,01,2,3,2,2,2,3,2,2,3,3,3,2,2,3,3,3
,02,2,3,2,2,2,2,2,2,3,3,2,2,2,3,3,3
,03,2,3,2,2,2,2,2,2,2,3,2,2,2,3,3,2
,04,3,3,2,3,2,2,2,2,2,2,2,2,2,3,3,2
,05,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2
,06,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2
,07,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2
,08,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3
,09,2,3,2,3,3,3,2,2,3,2,2,2,2,3,3,3
,10,2,3,2,3,3,3,2,3,3,2,2,2,2,3,3,3
,11,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,3
,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,14,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
,15,4,4,3,3,3,3,4,3,3,4,3,3,4,4,4,4
,16,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4
,17,4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4
,18,4,4,4,4,4,5,4,5,5,6,4,3,4,4,4,4
,19,4,4,4,4,5,6,5,5,5,6,4,3,4,5,4,4
,20,4,4,4,4,6,6,5,6,5,6,3,3,4,4,4,5
,21,4,4,4,4,6,6,4,6,6,5,3,3,4,5,5,5
,22,5,4,4,4,5,5,4,6,5,5,4,3,4,5,5,5
,23,5,4,4,4,5,5,4,5,5,5,4,3,3,6,5,5
,24,5,4,4,4,5,5,4,5,5,5,5,3,3,6,6,5
,Daily Max,5,4,4,4,6,6,5,6,6,6,5,3,4,6,6,5
2019-01-05,01,5,4,4,4,5,5,3,5,5,5,5,3,2,6,6,5
,02,5,3,4,5,5,5,3,5,5,4,5,4,2,5,6,5
,03,5,3,3,5,4,4,3,4,5,4,5,4,2,5,6,5
