Month,Location,AQHI
1,Central/Western,3.748
1,Eastern,3.886
1,Kwun Tong,3.863
1,Sham Shui Po,3.552
1,Kwai Chung,3.772
1,Tsuen Wan,3.862
1,Tseung Kwan O,3.724
1,Yuen Long,3.686
1,Tuen Mun,3.959
1,Tung Chung,3.455
1,Tai Po,3.752
1,Sha Tin,3.659
1,Tap Mun,3.635
1,Causeway Bay,4.348
1,Central,4.053
1,Mong Kok,4.063
2,Central/Western,3.926
2,Eastern,4.177
2,Kwun Tong,4.137
2,Sham Shui Po,3.626
2,Kwai Chung,3.84
2,Tsuen Wan,3.896
2,Tseung Kwan O,3.709
2,Yuen Long,3.664
2,Tuen Mun,3.923
2,Tung Chung,3.303
2,Tai Po,3.836
2,Sha Tin,3.813
2,Tap Mun,3.72
2,Causeway Bay,4.461
2,Central,4.207
2,Mong Kok,4.194
3,Central/Western,4.155
3,Eastern,4.33
3,Kwun Tong,4.156
3,Sham Shui Po,3.987
3,Kwai Chung,4.034
3,Tsuen Wan,3.86
3,Tseung Kwan O,3.991
3,Yuen Long,3.649
3,Tuen Mun,3.826
3,Tung Chung,3.296
3,Tai Po,3.897
3,Sha Tin,3.767
3,Tap Mun,3.618
3,Causeway Bay,4.669
3,Central,4.257
3,Mong Kok,4.336
4,Central/Western,3.673
4,Eastern,4.037
4,Kwun Tong,3.911
4,Sham Shui Po,3.684
4,Kwai Chung,3.844
4,Tsuen Wan,3.571
4,Tseung Kwan O,3.851
4,Yuen Long,3.497
4,Tuen Mun,3.8
4,Tung Chung,3.144
4,Tai Po,3.341
4,Sha Tin,3.691
4,Tap Mun,3.716
4,Causeway Bay,4.289
4,Central,3.383
4,Mong Kok,3.992
5,Central/Western,2.772
5,Eastern,3.032
5,Kwun Tong,3.15
5,Sham Shui Po,2.839
5,Kwai Chung,3.125
5,Tsuen Wan,2.681
5,Tseung Kwan O,2.935
5,Yuen Long,2.905
5,Tuen Mun,2.979
5,Tung Chung,2.653
5,Tai Po,2.386
5,Sha Tin,2.884
5,Tap Mun,2.804
5,Causeway Bay,3.423
5,Central,2.902
5,Mong Kok,3.222
6,Central/Western,3.049
6,Eastern,3.388
6,Kwun Tong,3.224
6,Sham Shui Po,3.072
6,Kwai Chung,3.235
6,Tsuen Wan,2.82
6,Tseung Kwan O,3.104
6,Yuen Long,3.04
6,Tuen Mun,3.209
6,Tung Chung,2.963
6,Tai Po,2.509
6,Sha Tin,3.105
6,Tap Mun,2.954
6,Causeway Bay,3.559
6,Central,3.424
6,Mong Kok,3.264
7,Central/Western,2.237
7,Eastern,2.467
7,Kwun Tong,2.507
7,Sham Shui Po,2.337
7,Kwai Chung,2.446
7,Tsuen Wan,2.139
7,Tseung Kwan O,2.308
7,Yuen Long,2.244
7,Tuen Mun,2.403
7,Tung Chung,2.214
7,Tai Po,2.259
7,Sha Tin,2.419
7,Tap Mun,2.169
7,Causeway Bay,2.834
7,Central,2.524
7,Mong Kok,2.599
8,Central/Western,3.154
8,Eastern,3.271
8,Kwun Tong,3.301
8,Sham Shui Po,3.209
8,Kwai Chung,3.249
8,Tsuen Wan,3.043
8,Tseung Kwan O,3.143
8,Yuen Long,3.163
8,Tuen Mun,3.323
8,Tung Chung,3.072
8,Tai Po,3.147
8,Sha Tin,3.133
8,Tap Mun,2.967
8,Causeway Bay,3.728
8,Central,3.559
8,Mong Kok,3.595
9,Central/Western,3.423
9,Eastern,3.483
9,Kwun Tong,3.361
9,Sham Shui Po,3.385
9,Kwai Chung,3.4
9,Tsuen Wan,3.155
9,Tseung Kwan O,3.385
9,Yuen Long,3.407
9,Tuen Mun,3.677
9,Tung Chung,3.243
9,Tai Po,3.273
9,Sha Tin,3.38
9,Tap Mun,2.952
9,Causeway Bay,3.873
9,Central,3.725
9,Mong Kok,3.727
10,Central/Western,4.788
10,Eastern,4.826
10,Kwun Tong,4.568
10,Sham Shui Po,4.751
10,Kwai Chung,4.631
10,Tsuen Wan,4.47
10,Tseung Kwan O,4.73
10,Yuen Long,4.488
10,Tuen Mun,4.956
10,Tung Chung,4.392
10,Tai Po,4.476
10,Sha Tin,4.658
10,Tap Mun,4.595
10,Causeway Bay,4.947
10,Central,5.003
10,Mong Kok,4.917
11,Central/Western,3.865
11,Eastern,3.767
11,Kwun Tong,3.78
11,Sham Shui Po,3.717
11,Kwai Chung,3.733
11,Tsuen Wan,3.676
11,Tseung Kwan O,3.872
11,Yuen Long,3.721
11,Tuen Mun,3.945
11,Tung Chung,3.461
11,Tai Po,3.701
11,Sha Tin,3.825
11,Tap Mun,3.653
11,Causeway Bay,4.003
11,Central,4.089
11,Mong Kok,4.003
12,Central/Western,3.355
12,Eastern,3.329
12,Kwun Tong,3.333
12,Sham Shui Po,3.213
12,Kwai Chung,3.152
12,Tsuen Wan,3.164
12,Tseung Kwan O,3.234
12,Yuen Long,3.222
12,Tuen Mun,3.403
12,Tung Chung,3.092
12,Tai Po,3.101
12,Sha Tin,3.148
12,Tap Mun,2.935
12,Causeway Bay,3.659
12,Central,3.681
12,Mong Kok,3.495
