area,population,sex,income,age
Central and Western - Chung Wan,Male,5892,27500,45.7
Central and Western - Chung Wan,Female,6609,10000,48.2
Central and Western - Chung Wan,Sub-Total,12501,18000,47.4
Central and Western - Mid Levels East,Male,7584,50000,44.3
Central and Western - Mid Levels East,Female,9425,12600,41.4
Central and Western - Mid Levels East,Sub-Total,17009,25500,42.8
Central and Western - Castle Road,Male,8402,60000,42.7
Central and Western - Castle Road,Female,11656,7000,42
Central and Western - Castle Road,Sub-Total,20058,28000,42.3
Central and Western - Peak,Male,8010,80000,43.8
Central and Western - Peak,Female,12253,5000,41.9
Central and Western - Peak,Sub-Total,20263,13000,42.7
Central and Western - University,Male,6837,50000,45.2
Central and Western - University,Female,11195,7000,42.5
Central and Western - University,Sub-Total,18032,20000,43
Central and Western - Kennedy Town and Mount Davis,Male,7763,21250,44.1
Central and Western - Kennedy Town and Mount Davis,Female,9441,15000,42.4
Central and Western - Kennedy Town and Mount Davis,Sub-Total,17204,19000,43.1
Central and Western - Kwun Lung,Male,7203,15500,43.1
Central and Western - Kwun Lung,Female,8314,12000,43
Central and Western - Kwun Lung,Sub-Total,15517,14000,43
Central and Western - Sai Wan,Male,6949,20000,45.1
Central and Western - Sai Wan,Female,7568,14000,45.9
Central and Western - Sai Wan,Sub-Total,14517,17000,45.5
Central and Western - Belcher,Male,9432,28000,41.9
Central and Western - Belcher,Female,11719,12000,43.7
Central and Western - Belcher,Sub-Total,21151,18500,42.8
Central and Western - Shek Tong Tsui,Male,8326,15000,45.8
Central and Western - Shek Tong Tsui,Female,9138,10000,46.6
Central and Western - Shek Tong Tsui,Sub-Total,17464,12150,46.1
Central and Western - Sai Ying Pun,Male,6527,13000,51
Central and Western - Sai Ying Pun,Female,7891,11250,44.5
Central and Western - Sai Ying Pun,Sub-Total,14418,12000,47.6
Central and Western - Sheung Wan,Male,6647,20000,44.6
Central and Western - Sheung Wan,Female,7328,14000,41.9
Central and Western - Sheung Wan,Sub-Total,13975,18000,43.2
Central and Western - Tung Wah,Male,5570,30000,42.1
Central and Western - Tung Wah,Female,6264,13500,43.5
Central and Western - Tung Wah,Sub-Total,11834,20090,42.9
Central and Western - Centre Street,Male,6674,19500,40.9
Central and Western - Centre Street,Female,7533,14500,47.8
Central and Western - Centre Street,Sub-Total,14207,16530,45.3
Central and Western - Water Street,Male,6879,20000,45.2
Central and Western - Water Street,Female,8237,13000,42.4
Central and Western - Water Street,Sub-Total,15116,17000,43.5
Wan Chai - Hennessy,Male,6289,16000,43.8
Wan Chai - Hennessy,Female,6550,10250,43.2
Wan Chai - Hennessy,Sub-Total,12839,13500,43.5
Wan Chai - Oi Kwan,Male,5974,20000,45.6
Wan Chai - Oi Kwan,Female,7104,11030,46.5
Wan Chai - Oi Kwan,Sub-Total,13078,15000,46.2
Wan Chai - Canal Road,Male,5568,15000,41.7
Wan Chai - Canal Road,Female,6508,10650,43.2
Wan Chai - Canal Road,Sub-Total,12076,12000,42
Wan Chai - Victoria Park,Male,6201,23000,48.7
Wan Chai - Victoria Park,Female,8041,12000,49.2
Wan Chai - Victoria Park,Sub-Total,14242,15500,49.1
Wan Chai - Tin Hau,Male,6732,18000,48.6
Wan Chai - Tin Hau,Female,8361,9500,47.5
Wan Chai - Tin Hau,Sub-Total,15093,14000,48
Wan Chai - Causeway Bay,Male,5160,18000,45.7
Wan Chai - Causeway Bay,Female,6086,8000,46.5
Wan Chai - Causeway Bay,Sub-Total,11246,13000,46.3
Wan Chai - Tai Hang,Male,6040,30000,48.7
Wan Chai - Tai Hang,Female,8475,12250,42.9
Wan Chai - Tai Hang,Sub-Total,14515,20000,44.6
Wan Chai - Jardine's Lookout,Male,6258,50000,48.2
Wan Chai - Jardine's Lookout,Female,10244,5210,43.1
Wan Chai - Jardine's Lookout,Sub-Total,16502,15000,44.6
Wan Chai - Broadwood,Male,6756,55000,44.7
Wan Chai - Broadwood,Female,9150,5100,41.8
Wan Chai - Broadwood,Sub-Total,15906,20000,42.8
Wan Chai - Happy Valley,Male,5460,32000,45.1
Wan Chai - Happy Valley,Female,7243,12300,42.8
Wan Chai - Happy Valley,Sub-Total,12703,20000,43.7
Wan Chai - Stubbs Road,Male,5863,60000,47.9
Wan Chai - Stubbs Road,Female,8867,5300,44
Wan Chai - Stubbs Road,Sub-Total,14730,15000,45.6
Wan Chai - Southorn,Male,6539,30000,46
Wan Chai - Southorn,Female,8024,11000,42.8
Wan Chai - Southorn,Sub-Total,14563,19000,44.1
Wan Chai - Tai Fat Hau,Male,5710,23000,42.7
Wan Chai - Tai Fat Hau,Female,6920,12000,42
Wan Chai - Tai Fat Hau,Sub-Total,12630,16000,42.4
Eastern - Tai Koo Shing West,Male,7579,45000,43.5
Eastern - Tai Koo Shing West,Female,10752,13000,40.2
Eastern - Tai Koo Shing West,Sub-Total,18331,25800,41.6
Eastern - Tai Koo Shing East,Male,7435,40000,47
Eastern - Tai Koo Shing East,Female,10796,12000,43.6
Eastern - Tai Koo Shing East,Sub-Total,18231,25000,45.3
Eastern - Lei King Wan,Male,10807,20000,43.2
Eastern - Lei King Wan,Female,10981,13000,41.1
Eastern - Lei King Wan,Sub-Total,21788,16500,42.3
Eastern - Aldrich Bay,Male,7749,15500,49.3
Eastern - Aldrich Bay,Female,9704,12000,47.7
Eastern - Aldrich Bay,Sub-Total,17453,14000,48.5
Eastern - Shaukeiwan,Male,5986,17000,41.3
Eastern - Shaukeiwan,Female,7419,12000,39.8
Eastern - Shaukeiwan,Sub-Total,13405,15000,40.8
