Month,Location,AQHI
1,Central/Western,3.568
1,Eastern,3.658
1,Kwun Tong,3.581
1,Sham Shui Po,3.348
1,Kwai Chung,3.484
1,Tsuen Wan,3.516
1,Tseung Kwan O,3.542
1,Yuen Long,3.297
1,Tuen Mun,3.574
1,Tung Chung,3.129
1,Tai Po,3.465
1,Sha Tin,3.445
1,Tap Mun,3.316
1,Causeway Bay,3.652
1,Central,3.542
1,Mong Kok,3.561
2,Central/Western,3.764
2,Eastern,3.993
2,Kwun Tong,3.921
2,Sham Shui Po,3.443
2,Kwai Chung,3.471
2,Tsuen Wan,3.621
2,Tseung Kwan O,3.5
2,Yuen Long,3.4
2,Tuen Mun,3.7
2,Tung Chung,2.943
2,Tai Po,3.529
2,Sha Tin,3.593
2,Tap Mun,3.406
2,Causeway Bay,3.793
2,Central,3.771
2,Mong Kok,3.786
3,Central/Western,3.974
3,Eastern,4.077
3,Kwun Tong,3.871
3,Sham Shui Po,3.877
3,Kwai Chung,3.652
3,Tsuen Wan,3.542
3,Tseung Kwan O,3.658
3,Yuen Long,3.329
3,Tuen Mun,3.574
3,Tung Chung,2.961
3,Tai Po,3.503
3,Sha Tin,3.497
3,Tap Mun,3
3,Causeway Bay,4.129
3,Central,3.903
3,Mong Kok,3.961
4,Central/Western,3.507
4,Eastern,3.8
4,Kwun Tong,3.727
4,Sham Shui Po,3.473
4,Kwai Chung,3.493
4,Tsuen Wan,3.233
4,Tseung Kwan O,3.513
4,Yuen Long,3.201
4,Tuen Mun,3.544
4,Tung Chung,2.765
4,Tai Po,3.033
4,Sha Tin,3.347
4,Tap Mun,3.247
4,Causeway Bay,3.787
4,Central,3.047
4,Mong Kok,3.633
5,Central/Western,2.497
5,Eastern,2.658
5,Kwun Tong,2.613
5,Sham Shui Po,2.529
5,Kwai Chung,2.639
5,Tsuen Wan,2.335
5,Tseung Kwan O,2.581
5,Yuen Long,2.49
5,Tuen Mun,2.548
5,Tung Chung,2.271
5,Tai Po,1.974
5,Sha Tin,2.497
5,Tap Mun,2.226
5,Causeway Bay,2.632
5,Central,2.394
5,Mong Kok,2.6
6,Central/Western,2.773
6,Eastern,3.073
6,Kwun Tong,2.8
6,Sham Shui Po,2.773
6,Kwai Chung,2.767
6,Tsuen Wan,2.487
6,Tseung Kwan O,2.767
6,Yuen Long,2.64
6,Tuen Mun,2.74
6,Tung Chung,2.573
6,Tai Po,2.16
6,Sha Tin,2.76
6,Tap Mun,2.527
6,Causeway Bay,2.827
6,Central,2.787
6,Mong Kok,2.773
7,Central/Western,2.006
7,Eastern,2.271
7,Kwun Tong,2.148
7,Sham Shui Po,2.052
7,Kwai Chung,2.168
7,Tsuen Wan,1.845
7,Tseung Kwan O,2.026
7,Yuen Long,1.942
7,Tuen Mun,2.103
7,Tung Chung,1.968
7,Tai Po,1.884
7,Sha Tin,2.161
7,Tap Mun,1.801
7,Causeway Bay,2.103
7,Central,1.994
7,Mong Kok,2.077
8,Central/Western,2.613
8,Eastern,2.755
8,Kwun Tong,2.645
8,Sham Shui Po,2.6
8,Kwai Chung,2.516
8,Tsuen Wan,2.394
8,Tseung Kwan O,2.639
8,Yuen Long,2.439
8,Tuen Mun,2.594
8,Tung Chung,2.51
8,Tai Po,2.535
8,Sha Tin,2.542
8,Tap Mun,2.416
8,Causeway Bay,2.813
8,Central,2.748
8,Mong Kok,2.716
9,Central/Western,3.033
9,Eastern,3.1
9,Kwun Tong,2.827
9,Sham Shui Po,2.98
9,Kwai Chung,2.9
9,Tsuen Wan,2.54
9,Tseung Kwan O,2.847
9,Yuen Long,2.767
9,Tuen Mun,3
9,Tung Chung,2.573
9,Tai Po,2.58
9,Sha Tin,2.8
9,Tap Mun,2.274
9,Causeway Bay,2.973
9,Central,3.013
9,Mong Kok,3.067
10,Central/Western,4.452
10,Eastern,4.503
10,Kwun Tong,4.135
10,Sham Shui Po,4.426
10,Kwai Chung,4.071
10,Tsuen Wan,3.968
10,Tseung Kwan O,4.258
10,Yuen Long,3.748
10,Tuen Mun,4.258
10,Tung Chung,3.684
10,Tai Po,3.723
10,Sha Tin,3.948
10,Tap Mun,4.087
10,Causeway Bay,4.316
10,Central,4.361
10,Mong Kok,4.31
11,Central/Western,3.513
11,Eastern,3.367
11,Kwun Tong,3.393
11,Sham Shui Po,3.353
11,Kwai Chung,3.293
11,Tsuen Wan,3.273
11,Tseung Kwan O,3.5
11,Yuen Long,3.213
11,Tuen Mun,3.527
11,Tung Chung,3.04
11,Tai Po,3.193
11,Sha Tin,3.453
11,Tap Mun,3.177
11,Causeway Bay,3.427
11,Central,3.533
11,Mong Kok,3.493
12,Central/Western,3.252
12,Eastern,3.103
12,Kwun Tong,3.09
12,Sham Shui Po,3.123
12,Kwai Chung,2.877
12,Tsuen Wan,2.865
12,Tseung Kwan O,3.071
12,Yuen Long,2.794
12,Tuen Mun,3.058
12,Tung Chung,2.813
12,Tai Po,2.865
12,Sha Tin,2.981
12,Tap Mun,2.629
12,Causeway Bay,3.194
12,Central,3.31
12,Mong Kok,3.232
